,unit_type,My rank is: Response,Rank,Year,A grievance/complaint against my unit chain-of-command will be handled in a fair and timely manner by my chain-of-command,Airmen in my unit consider the environmental impact of their actions,"During my performance feedback session, my supervisor provided me with feedback that enabled me to improve my performance prior to my annual performance review",I am allocated the correct amount of training hours each month to operate safely,I am encouraged to be innovative even if that means I might make a mistake,"I am informed of critical information (e.g. work schedules, policies, uniform of the day, etc.) in a reasonable amount of time",I feel I am a valued member of my unit,I feel adequately prepared to deploy and execute my assigned AEF duties,I have been adequately trained for the job I am expected to do,"I have easy and timely access to the written guidance I need to do my job (e.g., AFIs, MAJCOM Supplements, TOs, Self-Assessment Communicators, etc)",I have enough time to accomplish my daily workload during my normal duty hours,"I have the equipment (tools, spare parts, information technology, safety gear, etc.) I need to do my job the right way",I have the opportunity to develop other professional skills,I have the opportunity to develop/improve my AFSC/Special Duty Identifier-related skills,"I trust my leadership chain, from my supervisor to my Wing Commander (or FOA/DRU Commander)",I would be able to complete my assigned tasks if my work center lost communications capability,Individuals in my unit are comfortable approaching supervisors about personal problems,Members of my unit take good care of the equipment they use,My commander is concerned about my personal welfare,My deployment schedule is predictable enough for me to plan and participate in off-duty activities,My duty schedule is predictable enough for me to plan and participate in off-duty activities,My job is designed so I know when I have performed well,My leadership gets the right information about problems in my unit so he/she can fix them,"My position/job description (for both military and civilians) is current and accurately describes my daily functions, tasks and responsibilities",My supervisor corrects poor performance in my work group,My supervisor is concerned with my professional development,My unit accurately accounts for our equipment,My unit challenges inefficient ways of doing business,My unit closely monitors and tracks job qualifications,My unit has a sufficient number of experienced personnel to accomplish our primary mission,My unit has a sufficient number of personnel to accomplish our primary mission,My unit has an effective long-range scheduling process,My unit has processes in place to identify and share lessons learned,My unit has the sufficient funding to accomplish all of our missions,My unit is serious about preventing sexual assault and sexual harassment,My unit leadership chain applies disciplinary standards in a fair and consistent manner,My unit leadership chain consistently reinforces the USAF Core Values and their application to daily operations,My unit provides me sufficient time during working hours to participate in a physical fitness program,My unit spends end-of-year fallout money wisely,My unit takes suicide prevention seriously,My units communication processes prevent wasted effort and/or resources,My units communication system and information flow are effective up and down the chain of command,My units daily activities improve our ability to execute our most demanding mission,My units leaders reward individual performance fairly,My units strategic plan improves unit performance,My units strategic plan translates to what I do on a daily basis,My work center is adequately prepared to execute required operations during the most likely local contingencies,My work facilities enable effective mission accomplishment,Y,Performing my primary AFSC duties is NOT significantly impacted by additional duties,Performing my primary AFSC duties is NOT significantly impacted by ancillary training,Personnel in my unit do not feel pressured to cut corners to accomplish the mission,"Personnel in my unit have the time to become proficient in, then master, their primary AFSC duties","Personnel in my work section treat me with dignity, trust and respect",Standards in my unit are enforced,Teamwork at all levels is prevalent throughout my unit,The actions and decisions of my supervisor indicate he/she values my time,The mentoring I have received in this unit has been helpful in my development,"The performance evaluations (EPR, OPR, civilian performance appraisal) Ive received from my current unit have been fair","The policies and decisions of my AFSC community (e.g., HAF or MAJCOM CE, Comm, SF, Personnel, Ops, etc.) indicate my time is valued",The policies and decisions of other AFSC communities indicate my time is valued,The tasks I perform at work provide me with a sense of accomplishment,The written guidance I use helps me prioritize my work,location,wing,nma_category,Leadership,Strategic Plan,Impact of Additional Duties,Equipment,Duty Schedule,Supervisor,Adequate Training,Sufficient Personnel,Sexual Harrassment / Suicide,clusters
4201,NC3,E4-E6,2,2018,2,1,1,2,2,2,-1,1,2,1,2,2,1,1,-1,-2,2,2,1,2,2,-1,1,2,2,1,2,1,-1,-1,1,1,1,-1,2,-1,1,2,1,2,-1,2,2,-2,1,1,2,1,7,1,2,2,2,2,2,1,2,-1,1,1,1,1,2,MAND,50BD,COMSEC,4.908037865607911,1.3396559625814328,1.9755820399177306,1.7276315059667011,1.1491526836086399,2.2577603338000287,1.1235170797623526,0.058012271915911184,2.954951896179664,4
4202,NC3,E4-E6,2,2018,1,1,0,1,1,2,1,2,2,1,1,-1,1,1,1,-2,1,1,1,1,1,1,1,1,1,1,1,0,-1,-2,-1,-1,-2,-1,2,1,1,1,1,2,0,2,1,1,0,0,1,1,5,2,-1,1,-2,2,1,1,1,1,1,-1,1,1,1,MAND,50BD,COMSEC,10.164970278806248,0.0,0.6948816927179795,1.116074006514614,0.5745763418043199,1.1696167291021944,1.1235170797623526,-1.954048081175552,2.954951896179664,3
4203,NC3,E1-E3,1,2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,1,1,1,1,1,1,1,1,1,1,-2,1,1,1,-1,1,1,-1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,MAND,50BD,COMSEC,9.607483959575394,1.3396559625814328,1.3243255624942343,1.116074006514614,0.5745763418043199,1.6781683741306237,0.5617585398811763,-0.058012271915911184,2.954951896179664,0
4204,NC3,E1-E3,1,2018,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,0,0,1,1,1,1,0,0,1,-1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,7,0,0,0,0,1,1,1,1,1,0,1,1,-1,1,MAND,50BD,COMSEC,8.994548847543097,0.0,0.0,1.116074006514614,0.5745763418043199,1.6781683741306237,0.5617585398811763,-0.058012271915911184,1.477475948089832,0
4205,Maintenance,E7-E9,3,2018,-1,1,1,1,1,1,1,1,1,2,1,1,1,1,-1,-2,1,-2,1,1,1,-1,-2,1,-1,1,1,-1,-1,-1,-2,1,-1,-2,1,-2,-1,-1,-1,1,-2,1,1,-2,-1,-1,1,1,4,-1,-1,-2,-2,1,1,-2,1,1,1,1,1,1,1,MAND,50BD,Bomber,-3.5824922806395505,-1.3396559625814328,-1.3243255624942343,-0.21408198477912177,0.5745763418043199,1.6781683741306237,0.5617585398811763,-2.012060353091463,1.477475948089832,0
4206,Operator,E4-E6,2,2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,MAND,50BD,Bomber,9.607483959575394,1.3396559625814328,1.3243255624942343,1.116074006514614,0.5745763418043199,1.6781683741306237,0.5617585398811763,-1.3220361447556717,1.477475948089832,0
4207,Maintenance,E4-E6,2,2018,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,6,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,MAND,50BD,Bomber,0.8869348273347006,1.3396559625814328,1.3243255624942343,1.116074006514614,0.5745763418043199,0.661065084073765,0.5617585398811763,0.058012271915911184,1.477475948089832,0
4208,NC3,E7-E9,3,2018,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,-1,2,-1,2,1,1,1,2,2,2,1,1,2,2,1,-1,1,2,1,2,2,2,2,1,2,1,2,2,2,1,1,2,1,8,1,2,2,2,2,2,1,1,2,2,1,1,2,2,MAND,50BD,COMSEC,16.23327620439993,1.3396559625814328,1.9755820399177306,0.3974755146729656,0.5745763418043199,1.6781683741306237,0.5617585398811763,-0.058012271915911184,2.954951896179664,0
4209,Operator,O1-O3,4,2018,2,1,1,1,2,1,1,2,2,2,1,1,-1,-1,1,1,2,2,2,1,1,-1,2,-1,2,1,1,2,2,-1,-2,1,2,-1,2,2,2,-1,1,2,1,2,2,0,1,2,2,-1,7,-1,-1,2,0,2,2,1,2,1,2,1,-1,1,1,MAND,50BD,Bomber,14.912269596161703,2.0116107142737327,-1.3243255624942343,2.232148013029228,0.5745763418043199,2.2577603338000287,1.1235170797623526,-2.012060353091463,2.954951896179664,3
4210,Operator,E7-E9,3,2018,2,1,1,1,2,2,2,1,1,1,-1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,-1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,9,1,1,2,1,2,1,2,1,2,2,1,1,2,2,MAND,50BD,Bomber,16.00970159552581,1.3396559625814328,1.3243255624942343,1.7276315059667011,1.1491526836086399,1.6781683741306237,0.5617585398811763,-0.058012271915911184,1.477475948089832,0
4211,Safety,E7-E9,3,2018,2,2,1,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,9,2,2,2,2,2,2,2,2,2,2,2,1,2,2,MAND,50BD,Missile,15.617924727726518,2.0073571734705653,2.6486511249884686,2.232148013029228,0.5745763418043199,2.847785103232818,1.1235170797623526,1.954048081175552,2.954951896179664,3
4212,Operator,O1-O3,4,2018,2,1,0,1,2,2,2,2,2,2,1,2,1,1,2,-1,2,2,2,1,-1,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,-1,2,2,2,2,2,2,2,2,2,1,10,-1,1,2,2,2,2,2,2,1,2,1,1,2,-1,MAND,50BD,Bomber,18.69608661463487,2.6793119251628656,-0.021812607647241578,2.232148013029228,-0.5745763418043199,2.3392334582043888,1.1235170797623526,1.3220361447556717,2.954951896179664,4
4213,Operator,E4-E6,2,2018,1,1,1,1,1,1,1,-1,1,2,1,2,1,1,1,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,0,2,1,2,1,1,1,1,MAND,50BD,Bomber,8.99011191331656,1.3396559625814328,1.3243255624942343,1.6205905135771403,0.5745763418043199,2.2577603338000287,0.5617585398811763,0.058012271915911184,1.477475948089832,0
4214,Operator,O1-O3,4,2018,2,2,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,0,2,2,1,2,1,2,2,1,1,1,-1,1,1,-1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,8,2,2,2,1,1,1,1,2,1,1,1,2,1,2,MAND,50BD,Bomber,10.232953327347687,1.3396559625814328,2.6486511249884686,2.232148013029228,1.1491526836086399,2.847785103232818,0.5617585398811763,-0.058012271915911184,1.477475948089832,0
4215,Operator,O1-O3,4,2018,0,1,2,1,2,1,2,2,2,1,-1,-1,1,1,1,-1,2,1,2,-1,-1,1,0,2,1,2,1,0,0,1,-1,1,0,-2,2,2,2,1,1,2,1,2,1,2,1,1,1,-1,10,-1,-1,0,0,2,1,2,2,2,2,-1,1,2,1,MAND,50BD,Bomber,15.050859417974468,1.3396559625814328,-1.3243255624942343,1.116074006514614,-0.5745763418043199,3.3563367482612474,1.1235170797623526,-0.058012271915911184,2.954951896179664,4
4216,Operator,O1-O3,4,2018,1,1,0,1,-1,1,-1,2,2,2,-2,-1,-1,-2,-1,-1,1,2,1,2,-1,-1,1,-1,-1,-2,2,-1,1,1,-1,-2,2,1,2,-1,1,-2,2,1,-1,-2,1,1,2,1,-1,-2,5,-1,-1,1,-1,-1,1,1,-1,-2,-1,2,2,-1,-2,MAND,50BD,Bomber,-0.8525738150166882,2.0073571734705653,-1.3243255624942343,2.232148013029228,-0.5745763418043199,-1.7596414985349838,1.1235170797623526,-0.058012271915911184,2.2452204130733557,1
4217,NC3,E4-E6,2,2018,1,-1,0,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,0,1,-1,1,-2,1,1,1,1,1,1,1,-1,-2,-2,-1,-1,0,1,1,0,2,0,1,1,1,1,1,0,0,-1,1,7,-1,1,-1,-1,1,1,1,1,0,0,1,1,1,1,MAND,50BD,COMSEC,6.670808705106105,0.0,-0.021812607647241578,1.116074006514614,-1.1491526836086399,1.1696167291021944,0.5617585398811763,-2.6440722895113433,1.477475948089832,2
4218,NC3,E4-E6,2,2018,1,1,2,2,1,2,1,1,1,2,1,2,2,2,1,-2,2,1,2,2,2,2,2,2,1,2,2,2,2,-1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,5,1,1,2,1,1,2,2,2,2,2,1,1,1,1,MAND,50BD,COMSEC,14.458962115319839,2.0073571734705653,1.3243255624942343,1.6205905135771403,1.1491526836086399,3.3563367482612474,0.5617585398811763,0.058012271915911184,2.954951896179664,3
4219,Maintenance,E4-E6,2,2018,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,1,2,1,1,1,1,1,1,1,1,2,1,1,-1,1,1,-1,-1,2,1,1,-1,-1,2,-1,1,1,-1,-1,1,1,-1,6,-1,-1,1,-1,1,1,1,1,1,1,-1,1,-1,1,MAND,50BD,Bomber,7.245453659989998,0.0042535408031673105,-1.3243255624942343,1.7276315059667011,0.5745763418043199,0.661065084073765,0.5617585398811763,0.058012271915911184,2.954951896179664,0
4220,Maintenance,E7-E9,3,2018,0,1,0,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,-2,1,-1,1,-1,1,-1,0,2,1,1,0,-1,1,-2,1,0,0,-1,1,-1,1,-1,0,1,-1,-1,0,1,0,0,1,1,4,1,-1,1,0,1,-1,-1,1,0,0,-1,-1,-1,-1,MAND,50BD,Bomber,1.9161828446507618,0.0,0.021812607647241578,-1.116074006514614,0.5745763418043199,1.1696167291021944,-0.5617585398811763,-0.5739996645039691,1.477475948089832,2
4221,Operator,O1-O3,4,2018,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,2,1,-2,-2,1,2,0,2,1,1,-1,1,2,1,1,1,1,1,1,1,-1,9,-2,-2,2,-1,1,1,1,1,1,1,1,-1,1,1,MAND,50BD,Bomber,9.607483959575394,1.3396559625814328,-2.6486511249884686,1.116074006514614,-0.5745763418043199,1.6781683741306237,0.5617585398811763,-2.6440722895113433,2.954951896179664,4
4222,Operator,E1-E3,1,2018,0,1,0,1,1,1,1,-1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,7,1,1,0,0,1,1,1,1,1,0,1,1,1,1,MAND,50BD,Bomber,5.9589307052835885,0.0,1.3243255624942343,1.116074006514614,0.5745763418043199,1.1696167291021944,0.5617585398811763,1.3220361447556717,0.0,0
4223,Maintenance,E4-E6,2,2018,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,1,2,1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1,0,1,2,1,0,1,0,2,1,-1,1,1,1,1,1,1,7,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,MAND,50BD,Bomber,7.816525777784568,1.3396559625814328,0.021812607647241578,1.7276315059667011,0.5745763418043199,1.6781683741306237,0.5617585398811763,0.058012271915911184,2.954951896179664,0
4224,Operator,O1-O3,4,2018,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,2,2,-1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,9,-1,-2,1,-1,2,2,2,2,2,2,2,1,2,2,MAND,50BD,Bomber,18.541884633341304,2.6793119251628656,-1.9755820399177306,2.232148013029228,1.1491526836086399,2.847785103232818,1.1235170797623526,-1.3220361447556717,2.954951896179664,3
4225,Maintenance,E4-E6,2,2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,1,1,1,1,2,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,MAND,50BD,Bomber,8.948322089278612,1.3396559625814328,1.3243255624942343,1.116074006514614,0.5745763418043199,-0.09190593416774462,0.5617585398811763,2.012060353091463,1.477475948089832,0
4226,NC3,E4-E6,2,2018,2,1,2,1,-2,1,2,2,1,2,-1,-2,2,2,1,2,-2,1,-2,1,1,-1,2,-2,-2,1,1,2,-1,-2,-2,1,1,2,2,1,2,-1,1,2,1,-1,1,1,0,0,2,-1,7,-2,1,-1,1,1,1,1,-2,-1,-1,-1,1,2,2,MAND,50BD,COMSEC,4.943624293320374,0.0,-0.6948816927179795,1.6205905135771403,0.5745763418043199,0.4479441401508384,0.5617585398811763,-2.6440722895113433,2.954951896179664,0
4227,Operator,O1-O3,4,2018,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,-2,1,2,2,1,1,1,1,1,1,1,1,2,1,-1,-1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,8,-1,-1,-1,-1,1,2,1,1,1,2,1,-1,1,1,MAND,50BD,Bomber,12.70495638268223,1.3396559625814328,-1.3243255624942343,2.232148013029228,0.5745763418043199,1.6781683741306237,0.5617585398811763,-1.3220361447556717,1.477475948089832,0
4228,Safety,E1-E3,1,2018,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-2,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,4,-1,-1,1,-1,1,1,1,-1,0,1,1,1,-1,1,MAND,50BD,Missile,5.433278673313516,1.3396559625814328,-1.3243255624942343,1.116074006514614,0.5745763418043199,-0.661065084073765,-0.5617585398811763,1.3220361447556717,1.477475948089832,1
4229,NC3,E1-E3,1,2018,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,2,1,-2,1,0,1,-1,-1,1,0,0,-2,-2,-1,0,1,2,1,1,1,1,2,1,1,0,1,0,0,-2,-1,4,-1,1,-1,1,1,1,-1,-1,1,0,-2,1,-1,1,MAND,50BD,COMSEC,8.385274122797725,0.0,-0.021812607647241578,1.116074006514614,-1.1491526836086399,-1.1696167291021944,0.5617585398811763,-2.6440722895113433,2.954951896179664,4
4230,Operator,O1-O3,4,2018,2,1,2,1,2,1,2,1,1,2,-1,-1,1,1,-1,-2,2,-1,2,2,-1,1,2,-1,2,2,1,1,2,-2,1,1,2,-1,2,2,2,2,-2,2,1,2,-1,2,2,1,1,-2,5,-2,-1,2,-2,2,2,2,2,2,2,1,-2,2,2,MAND,50BD,Bomber,16.673864782226424,2.0073571734705653,-1.9973946475649722,0.3974755146729656,-0.5745763418043199,3.3563367482612474,0.5617585398811763,-0.5739996645039691,2.954951896179664,4
4231,NC3,E4-E6,2,2018,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,2,-1,1,1,-1,1,1,1,-1,0,1,-1,-2,0,1,-1,2,2,1,1,1,2,1,-1,0,1,0,0,1,1,4,-2,-2,1,-1,2,1,-1,2,1,1,-1,1,1,-1,MAND,50BD,COMSEC,7.978431365999834,0.0,-2.6486511249884686,-1.116074006514614,0.5745763418043199,2.2577603338000287,-0.5617585398811763,-2.012060353091463,2.954951896179664,4
4232,Operator,E4-E6,2,2018,2,1,2,1,1,1,1,1,1,1,-1,2,1,-2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,2,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,7,1,2,2,2,1,1,1,2,1,1,1,1,1,1,MAND,50BD,Bomber,10.803463618474385,1.3396559625814328,1.9755820399177306,1.116074006514614,0.5745763418043199,2.7663119788284583,0.5617585398811763,-0.058012271915911184,1.477475948089832,0
4233,NC3,E4-E6,2,2018,2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,MAND,50BD,COMSEC,19.214967919150787,2.6793119251628656,2.6486511249884686,2.232148013029228,1.1491526836086399,3.3563367482612474,1.1235170797623526,2.6440722895113433,2.954951896179664,3
4234,NC3,E4-E6,2,2018,1,-1,1,2,1,2,1,-1,1,1,2,1,1,-1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,-1,-2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,7,2,2,2,2,1,1,1,1,1,2,-1,-1,1,1,MAND,50BD,COMSEC,10.152780726689176,1.3396559625814328,2.6486511249884686,1.116074006514614,1.1491526836086399,1.6781683741306237,0.5617585398811763,-2.012060353091463,1.477475948089832,0
4235,NC3,E4-E6,2,2018,0,1,1,1,-1,-1,-1,0,-1,1,-1,1,-1,-1,1,1,0,1,1,0,-2,1,1,-2,1,1,1,-2,-2,1,1,0,1,1,1,0,0,1,0,0,0,-1,0,-2,2,1,-1,1,5,-1,-2,0,0,-1,1,0,1,-1,1,1,1,1,-1,MAND,50BD,COMSEC,-1.7097923036901432,2.0073571734705653,-1.9755820399177306,1.116074006514614,-1.1491526836086399,1.6781683741306237,-0.5617585398811763,1.3220361447556717,0.7677444649835238,1
4236,Operator,O1-O3,4,2018,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,-1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,10,1,1,1,2,2,2,2,2,1,2,2,1,1,2,MAND,50BD,Bomber,18.023003328825386,2.6793119251628656,1.3243255624942343,2.232148013029228,1.1491526836086399,3.3563367482612474,1.1235170797623526,2.6440722895113433,2.954951896179664,3
4237,Maintenance,O4-O6,5,2018,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,-2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,8,-2,-1,2,2,2,2,2,1,2,2,-1,-2,2,2,MAND,50BD,Bomber,18.147817872541083,2.6793119251628656,-1.9973946475649722,2.232148013029228,1.1491526836086399,2.2681931435634133,1.1235170797623526,-2.6440722895113433,2.954951896179664,3
4238,Maintenance,O1-O3,4,2018,1,-1,0,1,1,2,2,2,1,2,1,1,2,2,2,-2,0,-1,2,2,2,-1,1,1,1,2,1,1,1,-2,-1,0,1,1,2,0,1,2,1,1,1,1,2,1,0,0,-1,1,8,1,1,1,2,2,1,2,1,1,0,1,-1,1,1,MAND,50BD,Bomber,11.371584379358657,0.0,1.3243255624942343,0.3974755146729656,1.1491526836086399,1.7596414985349838,0.5617585398811763,-1.954048081175552,2.2452204130733557,0
4239,Maintenance,E4-E6,2,2018,1,1,0,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,0,2,1,-2,1,2,2,1,0,0,-2,-2,-1,1,-1,2,-2,1,-1,0,2,-1,1,1,-2,0,0,1,1,7,-1,1,-1,1,1,1,1,2,0,-1,-2,-2,-2,1,MAND,50BD,Bomber,2.814344170821327,0.0,-0.021812607647241578,1.6205905135771403,1.1491526836086399,2.3392334582043888,0.5617585398811763,-2.6440722895113433,2.954951896179664,4
4240,Maintenance,O1-O3,4,2018,1,1,0,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,-2,1,2,1,1,1,1,-1,2,1,1,2,1,1,0,0,2,1,1,2,1,2,1,1,1,1,1,1,2,2,7,1,1,2,1,1,1,2,2,1,1,1,1,1,1,MAND,50BD,Bomber,9.762817138400314,1.3396559625814328,1.3243255624942343,1.7276315059667011,1.1491526836086399,0.5691591499060203,0.5617585398811763,1.954048081175552,2.954951896179664,3
4241,Maintenance,E4-E6,2,2018,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-2,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,4,1,-1,1,1,1,1,1,1,1,1,1,1,-2,1,MAND,50BD,Bomber,10.280567245384873,1.3396559625814328,0.021812607647241578,0.10704099238956089,0.5745763418043199,1.6781683741306237,0.5617585398811763,-0.058012271915911184,1.477475948089832,0
4242,Maintenance,E7-E9,3,2018,1,-1,0,1,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,1,-1,1,1,0,1,1,1,1,9,1,1,0,1,1,1,1,1,0,0,1,1,1,2,MAND,50BD,Bomber,6.297906754942199,1.3396559625814328,1.3243255624942343,1.6205905135771403,0.5745763418043199,1.1696167291021944,0.5617585398811763,1.3220361447556717,2.2452204130733557,0
4243,Maintenance,E4-E6,2,2018,2,1,1,-2,1,1,1,1,1,2,-2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,6,-2,-2,1,-1,1,2,1,1,1,1,2,-1,2,2,MAND,50BD,Bomber,14.566705977486066,1.3396559625814328,-2.6486511249884686,2.232148013029228,1.1491526836086399,2.2681931435634133,0.5617585398811763,2.012060353091463,2.954951896179664,3
4244,Maintenance,E4-E6,2,2018,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,7,1,1,1,1,2,2,1,2,2,2,1,2,2,1,MAND,50BD,Bomber,18.052299105778168,2.6793119251628656,1.3243255624942343,2.232148013029228,1.1491526836086399,3.3563367482612474,0.5617585398811763,-2.6440722895113433,2.954951896179664,3
4245,Operator,O1-O3,4,2018,1,1,0,1,2,2,2,1,1,2,-2,1,2,-1,2,-2,2,2,2,2,1,-1,1,1,-1,2,1,1,2,-2,-2,1,2,2,2,0,2,1,0,2,1,2,1,1,1,1,1,-1,8,-2,-1,1,-1,2,2,1,2,2,0,1,1,1,-1,MAND,50BD,Bomber,14.817767357533466,1.3396559625814328,-1.9973946475649722,2.232148013029228,0.5745763418043199,2.3392334582043888,0.5617585398811763,-2.6440722895113433,2.954951896179664,3
4246,Maintenance,E7-E9,3,2018,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-2,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,8,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,MAND,50BD,Bomber,9.607483959575394,1.3396559625814328,1.3243255624942343,1.116074006514614,0.5745763418043199,1.6781683741306237,0.5617585398811763,-1.3220361447556717,1.477475948089832,0
4247,Maintenance,E1-E3,1,2018,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,0,1,1,1,1,MAND,50BD,Bomber,9.607483959575394,1.3396559625814328,1.3243255624942343,1.116074006514614,1.1491526836086399,1.1696167291021944,0.5617585398811763,2.6440722895113433,1.477475948089832,0
4248,Maintenance,E1-E3,1,2018,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,1,1,-1,1,0,0,1,-1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,8,1,1,0,1,1,1,1,1,1,0,1,1,-1,1,MAND,50BD,Bomber,7.850060089645982,1.3396559625814328,1.3243255624942343,1.116074006514614,0.5745763418043199,-0.010432809763384565,0.5617585398811763,-0.058012271915911184,1.477475948089832,0
4249,Maintenance,E4-E6,2,2018,0,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,2,2,0,0,1,1,1,1,0,0,-1,1,0,0,1,1,1,1,2,1,1,1,1,0,1,0,0,0,1,10,0,0,0,0,1,1,1,2,1,1,1,1,1,1,MAND,50BD,Bomber,8.424038556416395,0.0,0.0,1.116074006514614,1.1491526836086399,2.2577603338000287,0.5617585398811763,0.058012271915911184,1.477475948089832,0
